player;nacionalidad;position;equipo;edad;nacimiento;partidos_jugados;titular;minutes_played;noventas_jugados;goles;asistencias;goles_mas_asist;goles_sin_penal;penales_convertidos;penales_intentados;amarillas;rojas;goles_asist_sin_penal_p90;tiros;tiros_al_arco;pct_tiros_al_arco;tiros_p90;tiros_arco_p90;goles_por_tiro;goles_por_tiro_al_arco;goles_recibidos;goles_recibidos_p90;tiros_al_arco_recibidos;atajadas;pct_atajadas;partidos_ganados_gk;empatados_gk;perdidos_gk;vallas_invictas;pct_vallas_invictas;penales_recibidos_gk;penales_atajados;penales_errados_rival;doble_amarilla;faltas_cometidas;faltas_recibidas;offsides;centros;intercepciones;entradas_ganadas;penales_ganados;penales_concedidos;goles_en_contra;goles_p90;asistencias_p90;tiros_p90_calc;intercepciones_p90;entradas_p90;centros_p90;faltas_p90
Agustin Hausch;ar ARG;MFFW;Defensa;23-088;2003,0;18;12;876;9,7;1;0;1;1;0;0;1;0;0,1;17;11;64,7;1,75;1,13;0,06;0,09;;;;;;;;;;;;;;0;5;13;1;47;7;5;;;0;0,103;0,0;1,753;0,722;0,515;4,845;0,515
Agustin Quiroga;ar ARG;DF;C. Córdoba–SdE;24-133;2002,0;13;9;802;8,9;0;0;0;0;0;0;3;0;0,0;12;1;8,3;1,35;0,11;0,0;0,0;;;;;;;;;;;;;;0;15;8;2;19;13;12;;;0;0,0;0,0;1,348;1,461;1,348;2,135;1,685
Agustin Quiroga;ar ARG;DF;Estudiantes–RC;24-133;2002,0;4;4;360;4,0;0;0;0;0;0;0;1;0;0,0;9;3;33,3;2,25;0,75;0,0;0,0;;;;;;;;;;;;;;0;3;1;0;3;4;3;;;0;0,0;0,0;2,25;1,0;0,75;0,75;0,75
Agustín Auzmendi;ar ARG;FW;Gimnasia–LP;29-197;1997,0;21;9;982;10,9;3;2;5;3;0;0;1;0;0,46;26;11;42,3;2,38;1,01;0,12;0,27;;;;;;;;;;;;;;0;13;23;2;7;4;8;;;0;0,275;0,183;2,385;0,367;0,734;0,642;1,193
Agustín Cardozo;ar ARG;MF;Lanús;29-079;1997,0;17;17;1514;16,8;0;1;1;0;0;0;0;0;0,06;6;2;33,3;0,36;0,12;0,0;0,0;;;;;;;;;;;;;;0;19;16;0;4;19;16;;;0;0,0;0,06;0,357;1,131;0,952;0,238;1,131
Agustín Colazo;ar ARG;FW;Gimnasia–LP;25-275;2000,0;2;1;147;1,6;2;0;2;2;0;0;0;0;1,22;4;3;75,0;2,45;1,84;0,5;0,67;;;;;;;;;;;;;;0;2;0;3;2;0;0;;;0;1,25;0,0;2,5;0,0;0,0;1,25;1,25
Agustín Colazo;ar ARG;FW;Unión;25-275;2000,0;6;2;183;2,0;1;0;1;1;0;0;1;0;0,49;7;3;42,9;3,44;1,48;0,14;0,33;;;;;;;;;;;;;;0;3;1;0;2;0;4;;;0;0,5;0,0;3,5;0,0;2,0;1,0;1,5
Agustín Falcón;ar ARG;DFMF;Belgrano;21-208;2005,0;3;1;148;1,6;0;0;0;0;0;0;1;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;5;0;0;1;2;3;;;0;0,0;0,0;0,0;1,25;1,875;0,625;3,125
Agustín García Basso;ar ARG;DF;Racing Club;34-144;1992,0;7;6;512;5,7;0;0;0;0;0;0;2;1;0,0;3;0;0,0;0,53;0,0;0,0;;;;;;;;;;;;;;;0;8;1;1;15;11;3;;;0;0,0;0,0;0,526;1,93;0,526;2,632;1,404
Agustín Ladstatter;ar ARG;MF;CA San Lorenzo;21-073;2005,0;13;5;484;5,4;0;0;0;0;0;0;0;1;0,0;11;3;27,3;2,05;0,56;0,0;0,0;;;;;;;;;;;;;;0;8;7;2;22;0;4;;;0;0,0;0,0;2,037;0,0;0,741;4,074;1,481
Agustín Lagos;ar ARG;DF;Platense;24-312;2001,0;9;4;415;4,6;0;0;0;0;0;0;0;0;0,0;2;1;50,0;0,43;0,22;0,0;0,0;;;;;;;;;;;;;;0;8;9;0;6;7;9;;;0;0,0;0,0;0,435;1,522;1,957;1,304;1,739
Agustín Lastra;ar ARG;GK;Estudiantes–RC;25-227;2001,0;11;11;990;11,0;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;15,0;1,36;41,0;26,0;63,4;1,0;1,0;9,0;2,0;18,2;3,0;0,0;0,0;0;0;8;0;0;1;0;;;0;0,0;0,0;0,0;0,091;0,0;0,0;0,0
Agustín Marchesín;ar ARG;GK;Boca Juniors;38-154;1988,0;12;12;1071;11,9;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;8,0;0,67;34,0;26,0;76,5;4,0;6,0;2,0;6,0;50,0;0,0;0,0;0,0;0;0;3;0;0;0;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Agustín Massaccesi;ar ARG;DF;Instituto;23-334;2002,0;7;4;397;4,4;0;0;0;0;0;0;1;0;0,0;2;1;50,0;0,45;0,23;0,0;0,0;;;;;;;;;;;;;;0;8;4;0;0;9;10;;;0;0,0;0,0;0,455;2,045;2,273;0,0;1,818
Agustín Medina;;MF;Lanús;;;15;11;848;9,4;0;0;0;0;0;0;5;0;0,0;8;1;12,5;0,85;0,11;0,0;0,0;;;;;;;;;;;;;;0;24;4;0;5;12;17;;;0;0,0;0,0;0,851;1,277;1,809;0,532;2,553
Agustín Morales;ar ARG;FW;Estudiantes–RC;27-184;1999,0;1;0;14;0,2;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;0;0;0;1;0;0;;;0;0,0;0,0;0,0;0,0;0,0;5,0;0,0
Agustín Módica;ar ARG;FW;Gimnasia–M;23-217;2003,0;17;15;1193;13,3;7;0;7;6;1;1;5;0;0,45;36;17;47,2;2,72;1,28;0,19;0,39;;;;;;;;;;;;;;0;19;21;3;4;4;6;;;0;0,526;0,0;2,707;0,301;0,451;0,301;1,429
Agustín Nadruz;uy URU;MF;Sarmiento–J;30-049;1996,0;1;0;1;0,0;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;;;0;;;;;;;
Agustín Palavecino;ar ARG;MFFW;Aldosivi;23-161;2003,0;17;11;978;10,9;0;0;0;0;0;0;5;0;0,0;13;4;30,8;1,2;0,37;0,0;0,0;;;;;;;;;;;;;;0;16;26;3;28;10;10;;;0;0,0;0,0;1,193;0,917;0,917;2,569;1,468
Agustín Ruberto;ar ARG;FW;River Plate;20-215;2006,0;4;2;169;1,9;0;0;0;0;0;0;1;0;0,0;3;2;66,7;1,6;1,07;0,0;0,0;;;;;;;;;;;;;;0;2;1;0;1;0;0;;;0;0,0;0,0;1,579;0,0;0,0;0,526;1,053
Agustín Seyral;ar ARG;DF;Sarmiento–J;21-198;2005,0;11;8;720;8,0;0;0;0;0;0;0;2;0;0,0;2;0;0,0;0,25;0,0;0,0;;;;;;;;;;;;;;;0;11;5;0;1;21;7;;;0;0,0;0,0;0,25;2,625;0,875;0,125;1,375
Agustín Sández;py PAR;DFMF;Rosario Central;25-213;2001,0;15;14;1106;12,3;0;1;1;0;0;0;5;0;0,08;8;1;12,5;0,65;0,08;0,0;0,0;;;;;;;;;;;;;;0;15;8;1;28;18;13;;;0;0,0;0,081;0,65;1,463;1,057;2,276;1,22
Alan Aguerre;ar ARG;GK;C. Córdoba–SdE;35-359;1990,0;19;19;1577;17,5;0;1;1;0;0;0;2;0;0,06;0;0;;0,0;0,0;;;21,0;1,2;91,0;70,0;76,9;5,0;4,0;10,0;6,0;31,6;1,0;1,0;0,0;0;0;4;0;0;0;0;;;0;0,0;0,057;0,0;0,0;0,0;0,0;0,0
Alan Alcaraz;ar ARG;MF;Arg Juniors;17-228;2009,0;1;0;11;0,1;0;0;0;0;0;0;0;0;0,0;1;1;100,0;8,18;8,18;0,0;0,0;;;;;;;;;;;;;;0;0;0;0;0;0;0;;;0;0,0;0,0;10,0;0,0;0,0;0,0;0,0
Alan Barrionuevo;ar ARG;DF;Tigre;29-227;1997,0;20;20;1800;20,0;2;2;4;2;0;0;1;0;0,2;28;7;25,0;1,4;0,35;0,07;0,29;;;;;;;;;;;;;;0;10;3;0;1;24;21;;;0;0,1;0,1;1,4;1,2;1,05;0,05;0,5
Alan Coria;ar ARG;MF;Defensa;19-060;2007,0;4;1;119;1,3;0;0;0;0;0;0;0;0;0,0;5;2;40,0;3,78;1,51;0,0;0,0;;;;;;;;;;;;;;0;2;1;0;1;0;1;;;0;0,0;0,0;3,846;0,0;0,769;0,769;1,538
Alan Forneris;ar ARG;MF;Racing Club;21-201;2005,0;3;0;74;0,8;0;0;0;0;0;0;1;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;2;2;0;1;0;4;;;0;0,0;0,0;0,0;0,0;5,0;1,25;2,5
Alan Laprida;ar ARG;MF;C. Córdoba–SdE;21-321;2004,0;9;3;391;4,3;0;0;0;0;0;0;1;0;0,0;2;0;0,0;0,46;0,0;0,0;;;;;;;;;;;;;;;0;9;16;0;6;1;4;;;0;0,0;0,0;0,465;0,233;0,93;1,395;2,093
Alan Lescano;ar ARG;MF;Arg Juniors;24-279;2001,0;20;20;1641;18,2;3;0;3;2;1;1;5;0;0,11;28;12;42,9;1,54;0,66;0,1;0,23;;;;;;;;;;;;;;0;20;27;2;15;14;23;;;0;0,165;0,0;1,538;0,769;1,264;0,824;1,099
Alan Rodríguez;uy URU;FW;Rosario Central;26-204;2000,0;1;1;90;1,0;1;0;1;1;0;0;0;0;1,0;2;1;50,0;2,0;1,0;0,5;1,0;;;;;;;;;;;;;;0;0;1;0;0;1;2;;;0;1,0;0,0;2,0;1,0;2,0;0,0;0,0
Alan Sosa;ar ARG;MFFW;Aldosivi;23-104;2003,0;15;9;877;9,7;1;0;1;1;0;0;2;1;0,1;23;5;21,7;2,36;0,51;0,04;0,2;;;;;;;;;;;;;;0;8;12;0;23;21;19;;;0;0,103;0,0;2,371;2,165;1,959;2,371;0,825
Alan Soñora;us USA;MF;Newell's;28-014;1998,0;1;0;45;0,5;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;0;0;0;2;0;0;;;0;0,0;0,0;0,0;0,0;0,0;4,0;0,0
Alan Velasco;ar ARG;MFFW;Boca Juniors;24-021;2002,0;11;5;455;5,1;3;1;4;3;0;0;1;0;0,79;14;5;35,7;2,77;0,99;0,21;0,6;;;;;;;;;;;;;;0;5;10;0;24;2;10;;;0;0,588;0,196;2,745;0,392;1,961;4,706;0,98
Alberto Campo;ec ECU;FW;Racing Club;19-337;2006,0;1;0;30;0,3;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;1;0;0;1;0;0;;;0;0,0;0,0;0,0;0,0;0,0;3,333;3,333
Alcides Benítez;py PAR;MFDF;Belgrano;24-050;2002,0;16;13;1037;11,5;0;0;0;0;0;0;5;0;0,0;7;1;14,3;0,61;0,09;0,0;0,0;;;;;;;;;;;;;;0;16;22;0;30;17;35;;;0;0,0;0,0;0,609;1,478;3,043;2,609;1,391
Alejandro Cabrera;ar ARG;MF;Estudiantes–RC;33-321;1992,0;11;9;710;7,9;0;0;0;0;0;0;4;0;0,0;6;0;0,0;0,76;0,0;0,0;;;;;;;;;;;;;;;0;15;20;0;3;15;12;;;0;0,0;0,0;0,759;1,899;1,519;0,38;1,899
Alejandro Maciel;ar ARG;DF;C. Córdoba–SdE;29-117;1997,0;19;19;1710;19,0;1;1;2;1;0;0;7;0;0,11;6;2;33,3;0,32;0,11;0,17;0,5;;;;;;;;;;;;;;0;18;8;1;2;30;26;;;0;0,053;0,053;0,316;1,579;1,368;0,105;0,947
Alejandro Martínez;ar ARG;MFFW;Huracán;29-123;1997,0;11;5;395;4,4;0;0;0;0;0;0;0;0;0,0;4;0;0,0;0,91;0,0;0,0;;;;;;;;;;;;;;;0;3;4;0;18;2;4;;;0;0,0;0,0;0,909;0,455;0,909;4,091;0,682
Alejandro Tello;ar ARG;MFFW;Racing Club;18-190;2008,0;5;5;324;3,6;0;1;1;0;0;0;1;0;0,28;5;2;40,0;1,39;0,56;0,0;0,0;;;;;;;;;;;;;;0;2;0;0;1;2;3;;;0;0,0;0,278;1,389;0,556;0,833;0,278;0,556
Alejandro Villareal;co COL;FWMF;Aldosivi;21-020;2005,0;9;3;239;2,7;0;0;0;0;0;0;1;0;0,0;6;0;0,0;2,26;0,0;0,0;;;;;;;;;;;;;;;0;5;4;1;8;4;1;;;0;0,0;0,0;2,222;1,481;0,37;2,963;1,852
Alejo Córdoba;ar ARG;DF;CA San Lorenzo;22-102;2004,0;4;4;360;4,0;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;1;2;1;1;10;8;;;0;0,0;0,0;0,0;2,5;2,0;0,25;0,25
Alejo Dramisino;ar ARG;MF;Dep. Riestra;26-120;2000,0;4;0;74;0,8;0;0;0;0;0;0;0;0;0,0;1;0;0,0;1,22;0,0;0,0;;;;;;;;;;;;;;;0;0;2;0;2;0;0;;;0;0,0;0,0;1,25;0,0;0,0;2,5;0,0
Alejo Gelsomino;ar ARG;DF;Gimnasia–LP;21-094;2005,0;1;0;45;0,5;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;1;0;0;0;1;1;;;0;0,0;0,0;0,0;2,0;2,0;0,0;2,0
Alejo Osella;ar ARG;DFMF;Ind. Rivadavia;25-321;2000,0;17;15;1206;13,4;4;0;4;4;0;0;1;0;0,3;23;9;39,1;1,72;0,67;0,17;0,44;;;;;;;;;;;;;;0;5;7;1;11;17;17;;;0;0,299;0,0;1,716;1,269;1,269;0,821;0,373
Alejo Véliz;ar ARG;FW;Rosario Central;22-332;2003,0;14;12;1008;11,2;4;0;4;4;0;1;0;0;0,36;35;14;40,0;3,12;1,25;0,11;0,27;;;;;;;;;;;;;;0;11;19;3;3;0;0;;;0;0,357;0,0;3,125;0,0;0,0;0,268;0,982
Alessandro Riep;ar ARG;DF;Ind. Rivadavia;23-045;2003,0;4;2;236;2,6;0;0;0;0;0;0;1;0;0,0;2;1;50,0;0,76;0,38;0,0;0,0;;;;;;;;;;;;;;0;2;1;0;6;3;7;;;0;0,0;0,0;0,769;1,154;2,692;2,308;0,769
Alex Luna;ar ARG;MFFW;Instituto;22-139;2004,0;20;20;1616;18,0;6;0;6;4;2;3;5;0;0,22;66;26;39,4;3,68;1,45;0,09;0,21;;;;;;;;;;;;;;0;29;59;5;62;9;15;;;0;0,333;0,0;3,667;0,5;0,833;3,444;1,611
Alex Vigo;ar ARG;DF;Ind. Rivadavia;27-111;1999,0;1;1;90;1,0;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;2;2;0;4;0;0;;;0;0,0;0,0;0,0;0,0;0,0;4,0;2,0
Alex Vigo;ar ARG;DF;Talleres–C;27-111;1999,0;9;4;374;4,2;0;0;0;0;0;0;3;0;0,0;3;1;33,3;0,72;0,24;0,0;0,0;;;;;;;;;;;;;;0;6;1;1;11;8;9;;;0;0,0;0,0;0,714;1,905;2,143;2,619;1,429
Alexander Díaz;ar ARG;FWMF;Dep. Riestra;26-148;2000,0;15;13;974;10,8;1;0;1;1;0;0;0;0;0,09;13;5;38,5;1,2;0,46;0,08;0,2;;;;;;;;;;;;;;0;21;37;7;30;3;9;;;0;0,093;0,0;1,204;0,278;0,833;2,778;1,944
Alexander Machado;uy URU;FW;Banfield;24-081;2002,0;1;1;79;0,9;1;0;1;1;0;0;0;0;1,14;2;1;50,0;2,28;1,14;0,5;1,0;;;;;;;;;;;;;;0;1;0;0;1;0;0;;;0;1,111;0,0;2,222;0,0;0,0;1,111;1,111
Alexandro Maidana;py PAR;DFMF;Talleres–C;21-022;2005,0;10;9;814;9,0;2;0;2;2;0;0;2;0;0,22;8;3;37,5;0,88;0,33;0,25;0,67;;;;;;;;;;;;;;0;9;7;4;24;14;13;;;0;0,222;0,0;0,889;1,556;1,444;2,667;1,0
Alexis Canelo;ar ARG;FWMF;Atlé Tucumán;34-195;1992,0;1;0;11;0,1;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Alexis Castro;ar ARG;MF;Estudiantes–LP;31-303;1994,0;19;11;934;10,4;4;0;4;4;0;0;2;0;0,39;18;6;33,3;1,73;0,58;0,22;0,67;;;;;;;;;;;;;;0;18;14;0;9;9;17;;;0;0,385;0,0;1,731;0,865;1,635;0,865;1,731
Alexis Cuello;ar ARG;FWMF;CA San Lorenzo;26-180;2000,0;21;21;1817;20,2;4;3;7;3;1;2;7;1;0,3;42;12;28,6;2,08;0,59;0,09;0,29;;;;;;;;;;;;;;1;30;46;8;23;6;17;;;0;0,198;0,149;2,079;0,297;0,842;1,139;1,485
Alexis González;ar ARG;FW;Sarmiento–J;21-216;2005,0;2;0;21;0,2;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;2;0;0;0;0;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;10,0
Alexis Maldonado;ar ARG;DF;Belgrano;28-349;1997,0;18;17;1453;16,1;0;0;0;0;0;0;3;0;0,0;4;1;25,0;0,25;0,06;0,0;0,0;;;;;;;;;;;;;;0;14;7;0;0;21;20;;;0;0,0;0,0;0,248;1,304;1,242;0,0;0,87
Alexis Segovia;ar ARG;MF;Atlé Tucumán;22-063;2004,0;7;0;102;1,1;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;1;3;0;6;0;1;;;0;0,0;0,0;0,0;0,0;0,909;5,455;0,909
Alexis Soto;ar ARG;DFMF;Rosario Central;32-301;1993,0;16;10;967;10,7;1;0;1;1;0;0;1;0;0,09;6;1;16,7;0,56;0,09;0,17;1,0;;;;;;;;;;;;;;0;6;6;0;18;12;14;;;0;0,093;0,0;0,561;1,121;1,308;1,682;0,561
Alexis Steimbach;ar ARG;DF;Gimnasia–LP;24-023;2002,0;20;19;1652;18,4;1;5;6;1;0;0;8;1;0,33;14;1;7,1;0,76;0,05;0,07;1,0;;;;;;;;;;;;;;0;18;21;1;66;31;34;;;0;0,054;0,272;0,761;1,685;1,848;3,587;0,978
Alfio Oviedo;py PAR;FW;Tigre;30-242;1995,0;12;3;374;4,2;1;0;1;1;0;1;3;0;0,24;10;4;40,0;2,41;0,96;0,09;0,2;;;;;;;;;;;;;;0;14;8;1;3;0;3;;;0;0,238;0,0;2,381;0,0;0,714;0,714;3,333
Alfonso Espino;uy URU;DF;Racing Club;34-224;1992,0;1;1;58;0,6;0;0;0;0;0;0;0;0;0,0;1;0;0,0;1,55;0,0;0,0;;;;;;;;;;;;;;;0;0;1;0;2;0;0;;;0;0,0;0,0;1,667;0,0;0,0;3,333;0,0
Allan Wlk;py PAR;FW;Lanús;23-169;2003,0;4;2;168;1,9;0;0;0;0;0;0;0;0;0,0;4;2;50,0;2,14;1,07;0,0;0,0;;;;;;;;;;;;;;0;0;1;2;2;1;2;;;0;0,0;0,0;2,105;0,526;1,053;1,053;0,0
Ander Herrera;es ESP;MF;Boca Juniors;37-003;1989,0;9;5;466;5,2;0;0;0;0;0;0;1;0;0,0;7;1;14,3;1,35;0,19;0,0;0,0;;;;;;;;;;;;;;0;4;7;0;5;5;6;;;0;0,0;0,0;1,346;0,962;1,154;0,962;0,769
Andrés Chávez;ar ARG;FWMF;Aldosivi;35-149;1991,0;4;0;67;0,7;0;0;0;0;0;0;1;0;0,0;3;1;33,3;4,03;1,34;0,0;0,0;;;;;;;;;;;;;;0;0;2;3;2;0;1;;;0;0,0;0,0;4,286;0,0;1,429;2,857;0,0
Andrés Vombergar;si SVN;FWMF;Aldosivi;31-270;1994,0;4;3;254;2,8;0;0;0;0;0;0;0;0;0,0;10;2;20,0;3,54;0,71;0,0;0,0;;;;;;;;;;;;;;0;4;2;2;2;0;2;;;0;0,0;0,0;3,571;0,0;0,714;0,714;1,429
Antony Alonso;ar ARG;MFFW;Dep. Riestra;28-098;1998,0;21;19;1588;17,6;4;1;5;4;0;0;3;0;0,28;29;18;62,1;1,64;1,02;0,14;0,22;;;;;;;;;;;;;;0;24;7;6;7;9;17;;;0;0,227;0,057;1,648;0,511;0,966;0,398;1,364
Aníbal Moreno;ar ARG;MF;River Plate;27-096;1999,0;19;19;1659;18,4;0;2;2;0;0;0;2;0;0,11;17;3;17,6;0,92;0,16;0,0;0,0;;;;;;;;;;;;;;0;26;10;0;8;28;38;;;0;0,0;0,109;0,924;1,522;2,065;0,435;1,413
Armando Méndez;uy URU;DF;Newell's;30-139;1996,0;14;14;1173;13,0;0;0;0;0;0;0;3;1;0,0;8;1;12,5;0,61;0,08;0,0;0,0;;;;;;;;;;;;;;0;14;14;0;45;16;37;;;0;0,0;0,0;0,615;1,231;2,846;3,462;1,077
Augusto Fernández;ar ARG;FW;Aldosivi;20-223;2006,0;1;0;10;0,1;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;0;1;0;2;0;2;;;0;0,0;0,0;0,0;0,0;20,0;20,0;0,0
Augusto Lotti;it ITA;MF;Platense;30-068;1996,0;8;1;187;2,1;2;0;2;2;0;0;0;0;0,96;5;3;60,0;2,41;1,44;0,4;0,67;;;;;;;;;;;;;;0;2;0;1;4;2;3;;;0;0,952;0,0;2,381;0,952;1,429;1,905;0,952
Augusto Max;ar ARG;MF;Gimnasia–LP;34-007;1992,0;17;15;1327;14,7;0;1;1;0;0;0;7;0;0,07;3;1;33,3;0,2;0,07;0,0;0,0;;;;;;;;;;;;;;0;20;14;0;1;17;33;;;0;0,0;0,068;0,204;1,156;2,245;0,068;1,361
Augusto Schott;ar ARG;DF;Talleres–C;26-212;2000,0;19;18;1627;18,1;3;0;3;3;0;0;6;0;0,17;17;6;35,3;0,94;0,33;0,18;0,5;;;;;;;;;;;;;;0;20;13;1;46;17;26;;;0;0,166;0,0;0,939;0,939;1,436;2,541;1,105
Augusto Solari;ar ARG;MF;Unión;34-226;1992,0;8;1;176;2,0;0;0;0;0;0;0;0;0;0,0;5;2;40,0;2,56;1,02;0,0;0,0;;;;;;;;;;;;;;0;4;1;1;5;1;2;;;0;0,0;0,0;2,5;0,5;1,0;2,5;2,0
Axel Werner;ar ARG;GK;Aldosivi;30-170;1996,0;15;15;1350;15,0;0;0;0;0;0;0;3;0;0,0;0;0;;0,0;0,0;;;18,0;1,2;59,0;41,0;69,5;0,0;7,0;8,0;4,0;26,7;2,0;1,0;0,0;0;0;3;0;0;0;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Axel Werner;ar ARG;GK;Rosario Central;30-170;1996,0;1;1;90;1,0;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;0,0;0,0;5,0;5,0;100,0;1,0;0,0;0,0;1,0;100,0;0,0;0,0;0,0;0;0;0;0;0;0;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ayrton Costa;ar ARG;DF;Boca Juniors;27-036;1999,0;15;14;1260;14,0;0;0;0;0;0;0;4;0;0,0;6;0;0,0;0,43;0,0;0,0;;;;;;;;;;;;;;;0;11;13;5;2;25;11;;;0;0,0;0,0;0,429;1,786;0,786;0,143;0,786
Ayrton Portillo;ar ARG;MFDF;Defensa;25-364;2000,0;14;12;1043;11,6;3;1;4;3;0;0;4;0;0,35;12;4;33,3;1,04;0,35;0,25;0,75;;;;;;;;;;;;;;0;10;11;3;47;10;11;;;0;0,259;0,086;1,034;0,862;0,948;4,052;0,862
Baltasar Rodríguez;ar ARG;MF;Estudiantes–LP;23-039;2003,0;1;1;60;0,7;0;0;0;0;0;0;0;0;0,0;1;1;100,0;1,5;1,5;0,0;0,0;;;;;;;;;;;;;;0;3;0;0;0;0;1;;;0;0,0;0,0;1,429;0,0;1,429;0,0;4,286
